Date,Year,Month,Month_Number,MonthName,Quarter,FinancialYear,Gold_Price_USD_per_oz,Gold_Open_USD,Gold_High_USD,Gold_Low_USD,Gold_Daily_Change_Pct,USD_INR_Rate,Gold_Price_INR_per_oz,Gold_Price_INR_per_10g,Import_Duty_Rate_Pct,Import_Duty_Amount_INR_per_10g,GST_Rate_Pct,GST_Amount_INR_per_10g,Price_Plus_Duty_INR_per_10g,Estimated_Domestic_Gold_Price_INR_per_10g,Repo_Rate_Pct,Gold_Imports_Tonnes_Annual,Monthly_Gold_Price_Change_Pct,Monthly_USD_INR_Change_Pct,YoY_Growth_Pct,MA_3M,MA_6M,MA_12M,Rolling_Volatility_30D
2013-01-02,2013,1,1,January,Q1,FY12-13,1670.6,1665.2,1683,1660.6,0.52,54.23,90596.638,29127.49548,10,2912.749548,0,0,32040.24503,32040.24503,7.75,974,,,,32040.24503,32040.24503,32040.24503,
2013-01-03,2013,1,1,January,Q1,FY12-13,1572.3,1578.5,1586.9,1564,-0.37,54.46,85627.458,27529.86701,10,2752.986701,0,0,30282.85372,30282.85372,7.75,974,,,,31161.54937,31161.54937,31161.54937,
2013-01-04,2013,1,1,January,Q1,FY12-13,1600.9,1598.1,1601.6,1595.2,0.33,54.93,87937.437,28272.54251,10,2827.254251,0,0,31099.79676,31099.79676,7.75,974,,,,31140.96517,31140.96517,31140.96517,5.446917625
2013-01-05,2013,1,1,January,Q1,FY12-13,1446.2,1475.6,1477.4,1439.7,-1.76,54.93,79439.766,25540.47784,10,2554.047784,0,0,28094.52563,28094.52563,7.75,974,,,,30379.35528,30379.35528,30379.35528,5.851830571
2013-01-07,2013,1,1,January,Q1,FY12-13,1255.7,1232.9,1261.7,1224.1,2.62,55.2,69314.64,22285.17424,10,2228.517424,0,0,24513.69167,24513.69167,7.75,974,,,,29206.22256,29206.22256,29206.22256,6.426772259
2013-01-08,2013,1,1,January,Q1,FY12-13,1311.2,1323.4,1330.7,1306.6,-0.14,55.02,72142.224,23194.26361,10,2319.426361,0,0,25513.68997,25513.68997,7.75,974,,,,28590.80046,28590.80046,28590.80046,7.471282205
2013-01-10,2013,1,1,January,Q1,FY12-13,1286.1,1328.2,1337.8,1282.4,-3.08,54.49,70079.589,22531.11106,10,2253.111106,0,0,24784.22216,24784.22216,7.75,974,,,,28047.00356,28047.00356,28047.00356,6.765139173
2013-01-11,2013,1,1,January,Q1,FY12-13,1313.2,1323.1,1327.3,1305.6,-0.79,54.81,71976.492,23140.97953,10,2314.097953,0,0,25455.07749,25455.07749,7.75,974,,,,27723.0128,27723.0128,27723.0128,6.601743544
2013-01-14,2013,1,1,January,Q1,FY12-13,1669.4,1659.5,1674.8,1659.5,0.53,54.5,90982.3,29251.4887,10,2925.14887,0,0,32176.63756,32176.63756,7.75,974,,,,28217.86,28217.86,28217.86,12.33626049
2013-01-15,2013,1,1,January,Q1,FY12-13,1683.9,1667.8,1684.9,1666.2,0.87,54.58,91907.262,29548.87088,10,2954.887088,0,0,32503.75797,32503.75797,7.75,974,,,,28646.44979,28646.44979,28646.44979,11.53985064
2013-01-16,2013,1,1,January,Q1,FY12-13,1683.2,1679.7,1684.7,1673,-0.04,54.66,92003.712,29579.88028,10,2957.988028,0,0,32537.86831,32537.86831,7.75,974,,,,29000.21511,29000.21511,29000.21511,10.88197205
2013-01-17,2013,1,1,January,Q1,FY12-13,1690.8,1680.5,1697.8,1666.4,0.45,54.35,91894.98,29544.92213,10,2954.492213,0,0,32499.41434,32499.41434,7.75,974,,,,29291.81505,29291.81505,29291.81505,10.32360318
2013-01-18,2013,1,1,January,Q1,FY12-13,1687,1687.4,1695.1,1683.3,-0.22,53.82,90794.34,29191.05815,10,2919.105815,0,0,32110.16397,32110.16397,7.75,974,,,,29508.61112,29508.61112,29508.61112,9.845748757
2013-01-21,2013,1,1,January,Q1,FY12-13,1693.2,1686.5,1695.9,1684.8,0.37,53.82,91128.024,29298.34005,10,2929.834005,0,0,32228.17405,32228.17405,7.75,974,,,,29702.86562,29702.86562,29702.86562,9.426648818
2013-01-23,2013,1,1,January,Q1,FY12-13,1686.7,1691.7,1694.8,1683.1,-0.38,53.66,90508.322,29099.10123,10,2909.910123,0,0,32009.01135,32009.01135,7.75,974,,,,29856.60866,29856.60866,29856.60866,9.059782973
2013-01-24,2013,1,1,January,Q1,FY12-13,1669.9,1683.8,1685.8,1664.2,-1,53.67,89623.533,28814.63496,10,2881.463496,0,0,31696.09846,31696.09846,7.75,974,,,,29971.57678,29971.57678,29971.57678,8.737873103
2013-01-25,2013,1,1,January,Q1,FY12-13,1656.6,1667,1671.6,1655,-0.8,53.78,89091.948,28643.72641,10,2864.372641,0,0,31508.09906,31508.09906,7.75,974,,,,30061.96044,30061.96044,30061.96044,8.446243414
2013-01-28,2013,1,1,January,Q1,FY12-13,1652.9,1657.9,1661.6,1651,-0.22,53.97,89207.013,28680.72067,10,2868.072067,0,0,31548.79274,31548.79274,7.75,974,,,,30144.56223,30144.56223,30144.56223,8.178863193
2013-01-29,2013,1,1,January,Q1,FY12-13,1660.8,1653.9,1665,1653.5,0.48,53.64,89085.312,28641.59289,10,2864.159289,0,0,31505.75218,31505.75218,7.75,974,,,,30216.20381,30216.20381,30216.20381,7.934883352
2013-01-30,2013,1,1,January,Q1,FY12-13,1681.6,1664.1,1685,1663.5,1.25,53.21,89477.936,28767.82444,10,2876.782444,0,0,31644.60688,31644.60688,7.75,974,,,,30287.62396,30287.62396,30287.62396,7.71481145
2013-01-31,2013,1,1,January,Q1,FY12-13,1662,1677,1681.7,1658.4,-1.17,53.32,88617.84,28491.29715,10,2849.129715,0,0,31340.42687,31340.42687,7.75,974,,,,30337.75744,30337.75744,30337.75744,7.516136376
2013-02-01,2013,2,2,February,Q1,FY12-13,1688.8,1676.4,1695.4,1670.9,0.78,53.16,89776.608,28863.84972,10,2886.384972,0,0,31750.23469,31750.23469,7.75,974,-3.178302473,1.969242311,,30401.96095,30401.96095,30401.96095,7.332112773
2013-02-04,2013,2,2,February,Q1,FY12-13,1575.9,1600.1,1604.3,1574,-1.56,53.24,83900.916,26974.77087,10,2697.477087,0,0,29672.24796,29672.24796,7.75,974,-3.178302473,1.969242311,,30370.2343,30370.2343,30370.2343,7.383580025
2013-02-05,2013,2,2,February,Q1,FY12-13,1467.6,1457,1473.3,1448.1,1.48,52.99,77768.124,25003.03246,10,2500.303246,0,0,27503.3357,27503.3357,7.75,974,-3.178302473,1.969242311,,30250.78019,30250.78019,30250.78019,7.382822174
2013-02-07,2013,2,2,February,Q1,FY12-13,1243.4,1252.7,1267,1238.8,-0.98,53.22,66173.748,21275.35401,10,2127.535401,0,0,23402.88942,23402.88942,7.75,974,-3.178302473,1.969242311,,29976.86456,29976.86456,29976.86456,7.738299536
2013-02-08,2013,2,2,February,Q1,FY12-13,1310.5,1307.7,1318,1282.4,-0.05,53.58,70216.59,22575.1579,10,2257.51579,0,0,24832.67369,24832.67369,7.75,974,-3.178302473,1.969242311,,29779.01106,29779.01106,29779.01106,7.628550347
2013-02-09,2013,2,2,February,Q1,FY12-13,1412,1394,1416.4,1373.6,1.14,53.58,75654.96,24323.63446,10,2432.363446,0,0,26755.9979,26755.9979,7.75,974,-3.178302473,1.969242311,,29667.04761,29667.04761,29667.04761,7.788157499
2013-02-10,2013,2,2,February,Q1,FY12-13,1320.7,1287.5,1324.2,1276.9,2.69,53.58,70763.106,22750.86687,10,2275.086687,0,0,25025.95356,25025.95356,7.75,974,-3.178302473,1.969242311,,29501.29425,29501.29425,29501.29425,7.943159858
2013-02-12,2013,2,2,February,Q1,FY12-13,1221.9,1250.6,1251.2,1217.1,-2.28,53.75,65677.125,21115.68601,10,2111.568601,0,0,23227.25461,23227.25461,7.75,974,-3.178302473,1.969242311,,29284.94806,29284.94806,29284.94806,7.926422436
2013-02-13,2013,2,2,February,Q1,FY12-13,1645.1,1652.5,1655,1640.5,-0.27,53.79,88489.929,28450.17281,10,2845.017281,0,0,31295.19009,31295.19009,7.75,974,-3.178302473,1.969242311,,29351.95613,29351.95613,29351.95613,9.269925912
2013-02-14,2013,2,2,February,Q1,FY12-13,1635.5,1642.5,1650,1632.8,-0.58,53.94,88218.87,28363.02532,10,2836.302532,0,0,31199.32785,31199.32785,7.75,974,-3.178302473,1.969242311,,29411.54876,29411.54876,29411.54876,9.27084908
2013-02-15,2013,2,2,February,Q1,FY12-13,1609.5,1634.2,1636,1596.7,-1.59,54.28,87363.66,28088.06892,10,2808.806892,0,0,30896.87581,30896.87581,7.75,974,-3.178302473,1.969242311,,29457.96523,29457.96523,29457.96523,9.279233265
2013-02-18,2013,2,2,February,Q1,FY12-13,1604.2,1610,1618.8,1600.2,-0.33,54.28,87075.976,27995.57637,10,2799.557637,0,0,30795.134,30795.134,7.75,974,-3.178302473,1.969242311,,29498.4855,29498.4855,29498.4855,9.520270075
2013-02-20,2013,2,2,February,Q1,FY12-13,1578,1604.2,1609.2,1558.1,-1.63,54.18,85496.04,27487.61515,10,2748.761515,0,0,30236.37666,30236.37666,7.75,974,-3.178302473,1.969242311,,29520.18818,29520.18818,29520.18818,9.528172116
2013-02-21,2013,2,2,February,Q1,FY12-13,1578.6,1564.8,1584.4,1554.3,0.04,54.47,85986.342,27645.2509,10,2764.52509,0,0,30409.77599,30409.77599,7.75,974,-3.178302473,1.969242311,,29545.60497,29545.60497,29545.60497,9.286913508
2013-02-22,2013,2,2,February,Q1,FY12-13,1572.8,1577,1587,1569.3,-0.37,54.28,85371.584,27447.60161,10,2744.760161,0,0,30192.36177,30192.36177,7.75,974,-3.178302473,1.969242311,,29563.57044,29563.57044,29563.57044,9.286877303
2013-02-25,2013,2,2,February,Q1,FY12-13,1586.6,1579.7,1596.5,1574.7,0.88,53.96,85612.936,27525.19808,10,2752.519808,0,0,30277.71789,30277.71789,7.75,974,-3.178302473,1.969242311,,29582.87172,29582.87172,29582.87172,9.524271118
2013-02-26,2013,2,2,February,Q1,FY12-13,1615.5,1592.7,1619.7,1583.7,1.82,54.14,87463.17,28120.06213,10,2812.006213,0,0,30932.06834,30932.06834,7.75,974,-3.178302473,1.969242311,,29618.3769,29618.3769,29618.3769,9.29012037
2013-02-27,2013,2,2,February,Q1,FY12-13,1595.7,1613.6,1614.4,1591.4,-1.23,53.72,85721.004,27559.94275,10,2755.994275,0,0,30315.93703,30315.93703,7.75,974,-3.178302473,1.969242311,,29636.26305,29636.26305,29636.26305,9.295229703
2013-02-28,2013,2,2,February,Q1,FY12-13,1578.1,1596.3,1602.5,1574.3,-1.1,54.37,85801.297,27585.75755,10,2758.575755,0,0,30344.33331,30344.33331,7.75,974,-3.178302473,1.969242311,,29653.96481,29653.96481,29653.96481,9.299259207
2013-03-01,2013,3,3,March,Q1,FY12-13,1674.6,1686.2,1690.5,1661.2,-0.84,54.9,91935.54,29557.96247,10,2955.796247,0,0,32513.75872,32513.75872,7.75,974,1.245448539,0.128747471,,29723.71588,29723.71588,29723.71588,9.388872817
2013-03-04,2013,3,3,March,Q1,FY12-13,1553.5,1576.4,1577.3,1549.7,-1.42,54.92,85318.22,27430.44469,10,2743.044469,0,0,30173.48916,30173.48916,7.75,974,1.245448539,0.128747471,,29734.42477,29734.42477,29734.42477,9.771077051
2013-03-05,2013,3,3,March,Q1,FY12-13,1464.2,1466.2,1487.2,1455.4,-0.23,54.87,80340.654,25830.12006,10,2583.012006,0,0,28413.13207,28413.13207,7.75,974,1.245448539,0.128747471,,29703.69703,29703.69703,29703.69703,9.605613694
2013-03-06,2013,3,3,March,Q1,FY12-13,1411.9,1388.8,1416.5,1388.3,1.36,54.83,77414.477,24889.33231,10,2488.933231,0,0,27378.26554,27378.26554,7.75,974,1.245448539,0.128747471,,29650.84632,29650.84632,29650.84632,9.525570011
2013-03-07,2013,3,3,March,Q1,FY12-13,1251.9,1241.9,1259.3,1236,0.68,54.45,68165.955,21915.86344,10,2191.586344,0,0,24107.44978,24107.44978,7.75,974,1.245448539,0.128747471,,29527.65973,29527.65973,29527.65973,9.730784092
2013-03-10,2013,3,3,March,Q1,FY12-13,1317.6,1316.5,1322.8,1302,-0.23,54.32,71572.032,23010.94262,10,2301.094262,0,0,25312.03688,25312.03688,7.75,974,1.245448539,0.128747471,,29436.01575,29436.01575,29436.01575,9.342312478
2013-03-12,2013,3,3,March,Q1,FY12-13,1220.8,1219.5,1225.8,1214.6,-0.09,54.19,66155.152,21269.37526,10,2126.937526,0,0,23396.31279,23396.31279,7.75,974,1.245448539,0.128747471,,29307.51143,29307.51143,29307.51143,9.467768491
2013-03-13,2013,3,3,March,Q1,FY12-13,1588.4,1592,1598.8,1584.4,-0.21,54.3,86250.12,27730.0575,10,2773.00575,0,0,30503.06325,30503.06325,7.75,974,1.245448539,0.128747471,,29332.41876,29332.41876,29332.41876,11.41857841
2013-03-14,2013,3,3,March,Q1,FY12-13,1590.7,1586.7,1592.2,1575.2,0.14,54.22,86247.754,27729.29681,10,2772.929681,0,0,30502.22649,30502.22649,7.75,974,1.245448539,0.128747471,,29356.29239,29356.29239,29356.29239,11.22989294
2013-03-15,2013,3,3,March,Q1,FY12-13,1592.6,1589.4,1597.9,1587.3,0.12,54.06,86095.956,27680.49262,10,2768.049262,0,0,30448.54188,30448.54188,7.75,974,1.245448539,0.128747471,,29378.13738,29378.13738,29378.13738,8.157826453
2013-03-18,2013,3,3,March,Q1,FY12-13,1604.6,1597,1610.4,1589.6,0.75,54.1,86808.86,27909.69658,10,2790.969658,0,0,30700.66624,30700.66624,7.75,974,1.245448539,0.128747471,,29404.06932,29404.06932,29404.06932,8.369730251
2013-03-19,2013,3,3,March,Q1,FY12-13,1611.3,1603.7,1615,1599,0.42,54.4,87654.72,28181.64688,10,2818.164688,0,0,30999.81157,30999.81157,7.75,974,1.245448539,0.128747471,,29434.75667,29434.75667,29434.75667,8.1465544
2013-03-20,2013,3,3,March,Q1,FY12-13,1607.5,1611.9,1613.9,1599.6,-0.24,54.32,87319.4,28073.839,10,2807.3839,0,0,30881.2229,30881.2229,7.75,974,1.245448539,0.128747471,,29462.04848,29462.04848,29462.04848,8.146208549
2013-03-21,2013,3,3,March,Q1,FY12-13,1613.8,1605.7,1616.5,1603.6,0.39,54.27,87580.926,28157.92156,10,2815.792156,0,0,30973.71372,30973.71372,7.75,974,1.245448539,0.128747471,,29490.04229,29490.04229,29490.04229,7.939971554
2013-03-22,2013,3,3,March,Q1,FY12-13,1606.1,1614,1615.3,1602.6,-0.48,54.3,87211.23,28039.06154,10,2803.906154,0,0,30842.96769,30842.96769,7.75,974,1.245448539,0.128747471,,29514.64093,29514.64093,29514.64093,7.929918839
